2 	 99999 	 7074
3 	 99996 	 1303
4 	 99980 	 1358
5 	 99941 	 323
6 	 99922 	 390
7 	 99903 	 526
8 	 99874 	 634
9 	 99849 	 470
10 	 99824 	 493
11 	 99756 	 615
12 	 99429 	 602
13 	 98705 	 652
14 	 97222 	 1393
15 	 95010 	 726
16 	 92022 	 806
17 	 87999 	 756
18 	 83961 	 787
19 	 79254 	 808
20 	 74872 	 986
21 	 69862 	 935
22 	 65535 	 982
23 	 60862 	 1244
24 	 56529 	 1017
25 	 52415 	 1115
26 	 48773 	 1174
27 	 45194 	 1171
28 	 42385 	 1196
29 	 39060 	 1217
30 	 36395 	 1295
31 	 33848 	 1280
32 	 31505 	 1312
33 	 29431 	 1304
34 	 27741 	 1359
35 	 82351 	 850
36 	 79901 	 836
37 	 77714 	 948
38 	 75218 	 928
39 	 72862 	 1003
40 	 70650 	 986
